Assets,top_left_X,top_left_Y,bottom_right_X,top_right_Y,height,width,total_image_height,total_image_width
bfbf7a2b7ac635e67877b1ab87fd6629,104.0,215.0,404.0,279.0,64.0,300.0,900.0,600.0
945010afbf9a55bbdffcb0895f946155,104.0,215.0,404.0,279.0,64.0,300.0,900.0,600.0
e68e20f592457b875ce29757ab855dfe,366.0,154.0,600.0,204.0,50.0,234.0,500.0,600.0
adunit-nestle-purina-friskies-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-lionsgate-uwomt-user-slider-sensory-video-final-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84327cf26d2a91e2730ae7ddbfca6d59,87.0,136.0,491.0,205.0,69.0,404.0,900.0,600.0
08b7a12a72fb5100b27197c39bab1b70,119.0,297.0,481.0,343.0,46.0,362.0,500.0,600.0
adunit-lionsgate-spiral-puzzle-v2-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bb631902fce625cf0dc87d80c027c905,213.0,148.0,560.0,225.0,77.0,347.0,900.0,600.0
adunit-western-union-sensory-unit-swipe-right-tap-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bcc5ae4665b6b8c2ff25dfdc65fbc65a,151.0,774.0,450.0,850.0,76.0,299.0,900.0,600.0
adunit-chevy-hotspot-cpe-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-yamaha-user-slider-rotate-v3-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-showtime-dexture-post-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7fc571f85358c5d37efafde99b6896d7,366.0,154.0,600.0,204.0,50.0,234.0,500.0,600.0
adunit-jaguar-nameplate-refresh-rfb-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79c36d2adb94900291f5ddf1f6580c43,172.0,357.0,499.0,383.0,26.0,327.0,500.0,600.0
c7ecd71b4632aea2ffca69a1d079b290,56.0,518.0,353.0,577.0,59.0,297.0,900.0,600.0
adunit-subway-better-for-you-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8fa19496d906812e1f44a983d347ee63,131.0,399.0,445.0,457.0,58.0,314.0,500.0,600.0
3ef8b18ef78ad050d1a76b801d97a08c,104.0,215.0,404.0,279.0,64.0,300.0,900.0,600.0
adunit-western-union-sensory-unit-swipe-up-tap-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7f25293ac6d5c570749cea2af84e8439,366.0,154.0,600.0,204.0,50.0,234.0,500.0,600.0
3c23316180b7da3e712c0596fa01ff74,55.0,453.0,547.0,474.0,21.0,492.0,500.0,600.0
459c60702cfaae32207a161b693df47c,0.0,0.0,600.0,900.0,900.0,600.0,900.0,600.0
adunit-standardchartered-bio-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-mouser-user-choice-v2-cpe-av-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61eb910425767fd90074a958328bee6a,366.0,154.0,600.0,204.0,50.0,234.0,500.0,600.0
adunit-facebook-conversational-commerce-3-0-vn-unit2-v2-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a5bb9945be02e4181eee1dec5c25edc,366.0,154.0,600.0,204.0,50.0,234.0,500.0,600.0
e656e46e3a4dc66fc0baa433c94bfd1a,104.0,215.0,404.0,279.0,64.0,300.0,900.0,600.0
4264eae0ad6e1cbcea3d73d88becb787,128.0,744.0,472.0,803.0,59.0,344.0,900.0,600.0
adunit-showtime-dexter-sensory-plus-video-canvas-post-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6a3dbf08b82e45b3f3e79844f3a9aa18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-facebook-conversational-commerce-3-0-vn-unit2-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-kitkat-golden-break-gamify-en-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29383bc5de5a62c642fb9434d71863e7,104.0,215.0,404.0,279.0,64.0,300.0,900.0,600.0
9278a3d31c76eaa929d2326e1b2062e1,16.0,383.0,225.0,419.0,36.0,209.0,900.0,600.0
b768aedc20d9c135b355b7cd8e8beff3,201.0,421.0,399.0,464.0,43.0,198.0,500.0,600.0
ee11627c036ee9772446b6e3ac9da649,106.0,731.0,468.0,797.0,66.0,362.0,900.0,600.0
07f93a53c25007301d276ec20e7be491,224.0,599.0,590.0,672.0,73.0,366.0,900.0,600.0
2a6bbf47edb9f1cb3a722784c5e73e83,172.0,811.0,428.0,870.0,59.0,256.0,900.0,600.0
adunit-simple-feast-build-for-industry-survey-q3-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-gme-user-choice-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a9208f5502fa4ad01ddf92a77a0e8a3,169.0,370.0,437.0,456.0,86.0,268.0,500.0,600.0
404c5d32b088d0869fd7774ce7582f89,244.0,358.0,495.0,408.0,50.0,251.0,500.0,600.0
b1e8cf36fefced5b9f20d291026b06db,104.0,215.0,404.0,279.0,64.0,300.0,900.0,600.0
b285c9ac9aa1669a7350e4c4594ea571,366.0,154.0,600.0,204.0,50.0,234.0,500.0,600.0
b8595cc38764f2c30d986c4c8080671c,375.0,8.0,579.0,74.0,66.0,204.0,500.0,600.0
42dd2154c1b6f67a461463cf322c9830,37.0,62.0,344.0,157.0,95.0,307.0,900.0,600.0
adunit-mouser-user-choice-v2-cpe-canada-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7db3a9c286b1a445845bad68ff95f2bb,31.0,822.0,389.0,878.0,56.0,358.0,900.0,600.0
adunit-yamaha-wolverine-user-choice-av-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-van-cleef-and-arpels-frivole-wave-unit1-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-gme-user-choice-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73adaebd0fbf7778d06d9d711ba5c152,87.0,191.0,270.0,226.0,35.0,183.0,500.0,600.0
3bc6564698bdf9559b98b255737bbedb,104.0,215.0,404.0,279.0,64.0,300.0,900.0,600.0
df89c44299ec66120e89ab1d1296c26f,104.0,215.0,404.0,279.0,64.0,300.0,900.0,600.0
adunit-van-cleef-and-arpels-frivole-wave-unit1-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39d4594499ca9372338b51f71e0b6681,363.0,738.0,535.0,783.0,45.0,172.0,900.0,600.0
3c35998c3f4a279a008ac3ffd8481fea,264.0,262.0,525.0,314.0,52.0,261.0,500.0,600.0
adunit-chevy-tap-and-hold-600-1200-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c706a9ad6b0c2ee9295fe40dfa5b0615,135.0,400.0,449.0,458.0,58.0,314.0,500.0,600.0
8b6e13cab4903dffde5588ea2ab0c2a2,366.0,154.0,600.0,204.0,50.0,234.0,500.0,600.0
adunit-chevy-tap-final-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637244e2ca7b57187bd1b563a5b85846,104.0,215.0,404.0,279.0,64.0,300.0,900.0,600.0
99558df7a3e64e9b15c34c20f44f038a,292.0,733.0,546.0,808.0,75.0,254.0,900.0,600.0
39825c2c74eae1fd9c73da842617d2da,170.0,293.0,430.0,354.0,61.0,260.0,900.0,600.0
ed9fd46313a5bce5f00d5fd720e5880f,197.0,245.0,408.0,306.0,61.0,211.0,900.0,600.0
c176d5a3e27117bc90e3820434a024d9,204.0,427.0,395.0,483.0,56.0,191.0,500.0,600.0
adunit-vodacom-ciot-curve-v1-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bf1f7af46eec0e92939a8b3ba51cbacd,0.0,0.0,600.0,900.0,900.0,600.0,900.0,600.0
adunit-western-union-sensory-unit-swipe-right-tap-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26e54c41e45e7bd0899b90fdacf124fd,61.0,316.0,362.0,377.0,61.0,301.0,500.0,600.0
adunit-mouser-user-choice-v2-cpe-av-canada-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1e28a38a4e871527e62543540d0e7a7,380.0,414.0,586.0,454.0,40.0,206.0,500.0,600.0
f5f846befe806be6021ff34f9fd60547,177.0,22.0,424.0,475.0,453.0,247.0,500.0,600.0
b4d26946d68754d77027cc419d36892f,140.0,756.0,461.0,826.0,70.0,321.0,900.0,600.0
adunit-nestle-maggi-varieties-bouillon-en-ksa-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96510a48f1e13c601687e80f5d60670b,361.0,42.0,600.0,102.0,60.0,239.0,900.0,600.0
adunit-lionsgate-uwomt-user-slider-sensory-video-final-tune2-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09f35af0a30b37dce2f1a5ad7f143293,151.0,698.0,489.0,776.0,78.0,338.0,900.0,600.0
adunit-mouser-user-choice-v2-cpe-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4443d262f14a8d6d58655dcf2e8c4542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-nutrella-barrilito-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3f08e75ebd9b0ca68ffd298893647a13,96.0,313.0,416.0,446.0,133.0,320.0,500.0,600.0
c21bfafc138cf023080098b0f7a439d0,106.0,731.0,468.0,797.0,66.0,362.0,900.0,600.0
adunit-mouser-user-choice-flight4-canada-cpe-av-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-facebook-conversational-commerce-3-0-vn-unit1-mpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65299151bf4cbd1825d28e4a43d113ac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adunit-mouser-user-choice-cpe-canada-mob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
